job_id,title,company,added_at,source,job_category,date
linkedin_4413225013,Masters or PhD Researcher,Alignerr,2026-05-12T20:01:55.358971,LinkedIn,Other,2026-05-12
linkedin_4413221264,General Postdoctoral Researcher (Masters/PhDs),Alignerr,2026-05-12T20:01:55.361515,LinkedIn,Other,2026-05-12
linkedin_4413501061,Ai Data Reviewer - Remote,YO IT Consulting,2026-05-12T20:01:55.363533,LinkedIn,Other,2026-05-12
linkedin_4372776733,Data Modeler,CGI,2026-05-12T20:01:55.364376,LinkedIn,Other,2026-05-12
linkedin_4413171140,Clinical Planner,ParaMed Home Health Care,2026-05-12T20:01:55.365054,LinkedIn,Clinical / Nursing,2026-05-12
linkedin_4413201824,"Analyste II, Systèmes opérationnels",TD,2026-05-12T20:01:55.365738,LinkedIn,Analyst / BA / SA,2026-05-12
linkedin_4401642895,Junior Web Developer Co-Op (4-month contract),"Osler, Hoskin &amp; Harcourt LLP",2026-05-13T06:20:09.283040,LinkedIn,Co-op / Intern,2026-05-13
linkedin_4413703946,Remote Software Developer,Turing,2026-05-13T06:20:09.288901,LinkedIn,Software / Tech,2026-05-13
linkedin_4413494009,"Consultant, Application Development",CIBC,2026-05-13T06:20:09.289856,LinkedIn,Other,2026-05-13
linkedin_4403664080,Cloud Engineering Intern,407 ETR,2026-05-13T06:20:09.290492,LinkedIn,Co-op / Intern,2026-05-13
linkedin_4413712125,AI-Native Full-Stack Engineer,Reklaim,2026-05-13T06:20:09.291227,LinkedIn,Software / Tech,2026-05-13
linkedin_4413491632,"PhD Data Scientist, Intern",Stripe,2026-05-13T06:20:09.291740,LinkedIn,Co-op / Intern,2026-05-13
linkedin_4413709189,AS400 Developer/RPG Developer,BeachHead,2026-05-13T06:20:09.292207,LinkedIn,Software / Tech,2026-05-13
linkedin_4399551666,Junior Data Analyst Intern,Nexus Energy Inc.,2026-05-13T06:20:09.292686,LinkedIn,Co-op / Intern,2026-05-13
linkedin_4413460558,Business Analyst I,TD,2026-05-13T06:20:09.293082,LinkedIn,Analyst / BA / SA,2026-05-13
linkedin_4403644782,Operations Associate,Phoenix,2026-05-13T06:20:09.293496,LinkedIn,Other,2026-05-13
linkedin_4405017988,Benefits Analyst,People Corporation,2026-05-13T06:20:09.296089,LinkedIn,Analyst / BA / SA,2026-05-13
linkedin_4413484992,Business Systems Analyst,TD,2026-05-13T06:20:09.296505,LinkedIn,Analyst / BA / SA,2026-05-13
linkedin_4399415106,Business Analyst,Capgemini,2026-05-13T06:20:09.296900,LinkedIn,Analyst / BA / SA,2026-05-13
linkedin_4382207638,Business Analyst - Fixed Term (6 -month term),Prophix,2026-05-13T06:20:09.297466,LinkedIn,Analyst / BA / SA,2026-05-13
linkedin_4413590299,Client Services Associate,proSapient,2026-05-13T06:20:09.298122,LinkedIn,Other,2026-05-13
linkedin_4411357022,Automation &amp; AI Solutions Analyst,360insights,2026-05-13T06:20:09.298872,LinkedIn,Analyst / BA / SA,2026-05-13
linkedin_4404398360,Business Analyst,Ontario Teachers' Pension Plan,2026-05-13T06:20:09.299538,LinkedIn,Analyst / BA / SA,2026-05-13
linkedin_4413474495,"Patient Experience Project Coordinator, Schroeder Arthritis Institute",University Health Network,2026-05-13T06:20:09.300095,LinkedIn,Clinical / Nursing,2026-05-13
linkedin_4413736791,Reports Coordinator,University Health Network,2026-05-13T06:20:09.301139,LinkedIn,Other,2026-05-13
linkedin_4413472374,Business System Analyst,Epsilon Solutions Ltd.,2026-05-13T06:20:09.301600,LinkedIn,Analyst / BA / SA,2026-05-13
linkedin_4383897844,Operations Consultant (New Grad) - 2026/2027 Start,Isaac Operations,2026-05-13T06:20:09.302023,LinkedIn,Other,2026-05-13
linkedin_4408407947,Business Analyst (Portfolio Management),Iris Software Inc.,2026-05-13T06:20:09.302405,LinkedIn,Analyst / BA / SA,2026-05-13
linkedin_4413585291,Business Analyst (m/f/d),RUTRONIK Electronics Worldwide,2026-05-13T06:20:09.302807,LinkedIn,Analyst / BA / SA,2026-05-13
greenhouse_hootsuite_7808288,"Co-op/Intern, Internal AI Operations - Summer 2026",Hootsuite,2026-05-13T06:20:09.303281,Greenhouse,Co-op / Intern,2026-05-13
greenhouse_d2l_7696196,Bilingual Product Support Analyst (Canadian French),D2L (Brightspace),2026-05-13T06:20:09.314165,Greenhouse,Analyst / BA / SA,2026-05-13
